Day_Num,Num_Collisions
42004,124
42005,117
42006,149
42007,138
42008,130
42009,113
42010,131
42011,144
42012,153
42013,157
42014,190
42015,142
42016,119
42017,150
42018,173
42019,174
42020,169
42021,169
42022,144
42023,119
42024,128
42025,110
42026,161
42027,156
42028,179
42029,139
42030,124
42031,121
42032,157
42033,146
42034,172
42035,157
42036,183
42037,155
42038,151
42039,171
42040,122
42041,166
42042,167
42043,167
42044,128
42045,162
42046,143
42047,184
42048,168
42049,186
42050,138
42051,134
42052,139
42053,147
42054,143
42055,165
42056,198
42057,155
42058,143
42059,134
42060,154
42061,152
42062,191
42063,178
42064,142
42065,133
42066,139
42067,150
42068,184
42069,161
42070,163
42071,155
42072,131
42073,133
42074,161
42075,186
42076,169
42077,183
42078,174
42079,151
42080,187
42081,159
42082,151
42083,175
42084,197
42085,119
42086,134
42087,136
42088,168
42089,137
42090,178
42091,199
42092,155
42093,132
42094,156
42095,163
42096,156
42097,157
42098,168
42099,166
42100,143
42101,147
42102,147
42103,188
42104,150
42105,176
42106,154
42107,116
42108,126
42109,124
42110,169
42111,185
42112,151
42113,127
42114,131
42115,179
42116,143
42117,141
42118,164
42119,159
42120,127
42121,115
42122,152
42123,136
42124,170
42125,160
42126,176
42127,128
42128,152
42129,153
42130,124
42131,151
42132,146
42133,183
42134,148
42135,123
42136,158
42137,136
42138,153
42139,164
42140,162
42141,173
42142,129
42143,137
42144,155
42145,172
42146,143
42147,184
42148,126
42149,111
42150,111
42151,145
42152,151
42153,164
42154,162
42155,144
42156,154
42157,133
42158,152
42159,181
42160,162
42161,151
42162,164
42163,120
42164,161
42165,152
42166,155
42167,149
42168,171
42169,157
42170,132
42171,128
42172,130
42173,138
42174,139
42175,144
42176,152
42177,141
42178,140
42179,117
42180,147
42181,175
42182,152
42183,165
42184,126
42185,152
42186,145
42187,174
42188,115
42189,139
42190,123
42191,108
42192,129
42193,128
42194,117
42195,100
42196,87
42197,24
